file,model,nb_tokens,nb_tokens_diff
./results/codegemma_7b/UseCaseTest_folder.txt,codegemma_7b,89,9
./results/codegemma_7b/VariabilityTest_cluster.txt,codegemma_7b,243,136
./results/codegemma_7b/VariabilityTest_folder.txt,codegemma_7b,347,240
./results/codegemma_7b/Vehicle Analysis Demo_cluster.txt,codegemma_7b,210,-748
./results/codegemma_7b/Vehicle Analysis Demo_folder.txt,codegemma_7b,158,-800
./results/codegemma_7b/Vehicle Decomposition - Updated_cluster.txt,codegemma_7b,376,195
./results/codegemma_7b/Vehicle Decomposition - Updated_folder.txt,codegemma_7b,129,-52
./results/codegemma_7b/Vehicle Decomposition_cluster.txt,codegemma_7b,127,-54
./results/codegemma_7b/Vehicle Decomposition_folder.txt,codegemma_7b,143,-38
./results/codegemma_7b/VehicleDefinitions_cluster.txt,codegemma_7b,296,157
./results/codegemma_7b/VehicleDefinitions_folder.txt,codegemma_7b,278,139
./results/codegemma_7b/VehicleGeometryAndCoordinateFrames_cluster.txt,codegemma_7b,152,-408
./results/codegemma_7b/VehicleGeometryAndCoordinateFrames_folder.txt,codegemma_7b,221,-339
./results/codegemma_7b/VehicleIndividuals_cluster.txt,codegemma_7b,270,-69
./results/codegemma_7b/VehicleIndividuals_folder.txt,codegemma_7b,95,-244
./results/codegemma_7b/VehicleRequirementDerivation_cluster.txt,codegemma_7b,116,16
./results/codegemma_7b/VehicleRequirementDerivation_folder.txt,codegemma_7b,169,69
./results/codegemma_7b/Vehicles_cluster.txt,codegemma_7b,69,-25
./results/codegemma_7b/Vehicles_folder.txt,codegemma_7b,295,201
./results/codegemma_7b/VehicleUsages_cluster.txt,codegemma_7b,219,-62
./results/codegemma_7b/VehicleUsages_folder.txt,codegemma_7b,362,81
./results/codegemma_7b/VehicleVariabilityModel_cluster.txt,codegemma_7b,131,-293
./results/codegemma_7b/VehicleVariabilityModel_folder.txt,codegemma_7b,101,-323
./results/codegemma_7b/VerificationMetadataExample_cluster.txt,codegemma_7b,68,34
./results/codegemma_7b/VerificationMetadataExample_folder.txt,codegemma_7b,71,37
