file,length,import ,calc ,package ,action ,in ,out ,part ,attribute  ,port ,interface ,connect ,subject ,assert ,file_short
../data/examples/Simple Tests/RootPackageTest.sysml,14,2,0,3,0,0,0,3,0,2,0,0,0,0,RootPackageTest.sysml
../data/examples/Simple Tests/StateTest.sysml,56,0,0,1,7,0,0,1,2,0,0,0,0,0,StateTest.sysml
../data/examples/Simple Tests/StructuredControlTest.sysml,36,0,0,1,2,2,0,0,2,0,0,0,0,0,StructuredControlTest.sysml
../data/examples/Simple Tests/TextualRepresentationTest.sysml,22,1,0,1,1,5,0,0,1,1,0,0,0,1,TextualRepresentationTest.sysml
../data/examples/Simple Tests/TradeStudyTest.sysml,21,2,1,1,0,7,0,5,0,2,0,0,1,0,TradeStudyTest.sysml
../data/examples/Simple Tests/UseCaseTest.sysml,36,0,0,1,0,3,0,4,0,0,0,0,2,0,UseCaseTest.sysml
../data/examples/Simple Tests/VariabilityTest.sysml,41,0,0,1,3,0,0,7,4,0,0,0,0,0,VariabilityTest.sysml
../data/examples/Simple Tests/VerificationTest.sysml,39,0,0,1,0,1,0,3,0,0,0,0,3,0,VerificationTest.sysml
../data/examples/Simple Tests/ViewTest.sysml,44,1,0,2,0,6,0,3,0,1,0,0,0,0,ViewTest.sysml
../data/examples/State Space Representation Examples/CartSample.sysml,64,1,3,1,2,10,9,5,12,1,0,0,0,0,CartSample.sysml
../data/examples/State Space Representation Examples/EVSample.sysml,319,2,0,1,4,32,21,14,58,2,0,0,3,0,EVSample.sysml
../data/examples/v1 Spec Examples/8.4.1 Wheel Hub Assembly/Wheel Package - Updated.sysml,92,1,0,1,2,12,0,26,0,1,0,3,0,0,Wheel Package - Updated.sysml
../data/examples/v1 Spec Examples/8.4.1 Wheel Hub Assembly/Wheel Package.sysml,94,1,0,1,2,16,0,26,0,1,0,3,0,0,Wheel Package.sysml
../data/examples/v1 Spec Examples/8.4.5 Constraining Decomposition/Vehicle Decomposition - Updated.sysml,68,0,0,1,0,19,0,31,0,0,0,0,0,0,Vehicle Decomposition - Updated.sysml
../data/examples/v1 Spec Examples/8.4.5 Constraining Decomposition/Vehicle Decomposition.sysml,55,0,0,1,0,16,0,21,0,0,0,0,0,0,Vehicle Decomposition.sysml
../data/examples/v1 Spec Examples/D.4.7.8 Dynamics/HSUVDynamics.sysml,88,3,0,1,0,27,0,0,46,3,0,0,0,0,HSUVDynamics.sysml
../data/examples/Variability Examples/VehicleVariabilityModel.sysml,165,6,0,10,20,31,2,36,6,13,0,0,0,3,VehicleVariabilityModel.sysml
../data/examples/Vehicle Example/VehicleDefinitions.sysml,54,5,0,1,0,12,1,7,2,12,3,0,0,0,VehicleDefinitions.sysml
../data/examples/Vehicle Example/VehicleIndividuals.sysml,111,5,0,4,0,21,0,10,6,6,0,0,0,3,VehicleIndividuals.sysml
../data/examples/Vehicle Example/VehicleUsages.sysml,96,4,0,1,0,20,0,27,2,8,5,6,0,0,VehicleUsages.sysml
